,unit,ticker,exchangeCD,shortNM,currencyCD,barTime,dataDate,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue
64,1,000001,XSHG,上证指数,10:34,2016/7/1,2938.935,2938.677,2939.039,2938.086,47871400,598499750,
65,1,000001,XSHG,上证指数,10:35,2016/7/1,2937.965,2939.276,2939.276,2937.908,48868200,600177201.5,
66,1,000001,XSHG,上证指数,10:36,2016/7/1,2938.001,2939.026,2939.026,2937.212,47427500,616842371.7,
67,1,000001,XSHG,上证指数,10:37,2016/7/1,2937.069,2938.434,2938.434,2936.948,51132900,643030631.4,
68,1,000001,XSHG,上证指数,10:38,2016/7/1,2938.06,2937.781,2938.135,2937.231,50937600,674159497.6,
69,1,000001,XSHG,上证指数,10:39,2016/7/1,2938.971,2938.332,2939.126,2937.616,52325500,644631904.6,
70,1,000001,XSHG,上证指数,10:40,2016/7/1,2938.812,2938.847,2939.412,2938.338,52379500,635039422.4,
71,1,000001,XSHG,上证指数,10:41,2016/7/1,2939.86,2939.419,2939.906,2938.883,48108300,600750705.5,
72,1,000001,XSHG,上证指数,10:42,2016/7/1,2939.329,2939.104,2940.492,2938.687,45172800,548191062.5,
73,1,000001,XSHG,上证指数,10:43,2016/7/1,2939.955,2939.981,2940.406,2939.192,42983600,513333250.5,
74,1,000001,XSHG,上证指数,10:44,2016/7/1,2939.762,2939.555,2940.023,2939.325,43801300,534064544.6,
75,1,000001,XSHG,上证指数,10:45,2016/7/1,2939.476,2939.507,2939.693,2938.869,45522000,537320927.2,
76,1,000001,XSHG,上证指数,10:46,2016/7/1,2938.664,2939.339,2939.408,2938.346,44768700,535777649.3,
77,1,000001,XSHG,上证指数,10:47,2016/7/1,2938.094,2938.202,2939.02,2937.447,51352600,609639936.2,
78,1,000001,XSHG,上证指数,10:48,2016/7/1,2936.964,2938.408,2938.408,2936.536,59789300,704359136.5,
79,1,000001,XSHG,上证指数,10:49,2016/7/1,2935.832,2936.907,2936.907,2935.347,63740700,790396666.4,
80,1,000001,XSHG,上证指数,10:50,2016/7/1,2935.787,2936.419,2936.419,2934.705,65315100,779737493,
81,1,000001,XSHG,上证指数,10:51,2016/7/1,2935.273,2935.273,2935.509,2934.067,58710800,711623075.5,
82,1,000001,XSHG,上证指数,10:52,2016/7/1,2934.973,2934.868,2934.973,2934.174,57705900,691447960.4,
83,1,000001,XSHG,上证指数,10:53,2016/7/1,2934.034,2934.847,2934.885,2933.751,47167700,609160490.5,
84,1,000001,XSHG,上证指数,10:54,2016/7/1,2934.948,2934.356,2934.948,2933.86,47502200,543763523.2,
85,1,000001,XSHG,上证指数,10:55,2016/7/1,2934.223,2934.948,2935.125,2934.153,41739200,508969647.4,
86,1,000001,XSHG,上证指数,10:56,2016/7/1,2934.239,2934.584,2935.349,2934.239,46784400,578724369.9,
87,1,000001,XSHG,上证指数,10:57,2016/7/1,2934.921,2935.43,2935.954,2934.921,43028100,538652202.5,
88,1,000001,XSHG,上证指数,10:58,2016/7/1,2935.09,2934.886,2936.019,2934.886,43330400,550330566.1,
89,1,000001,XSHG,上证指数,10:59,2016/7/1,2936.457,2935.179,2936.525,2935.179,41640800,522283208.1,
90,1,000001,XSHG,上证指数,11:00,2016/7/1,2936.181,2936.109,2936.37,2935.872,41877100,492967264,
91,1,000001,XSHG,上证指数,11:01,2016/7/1,2935.1,2935.698,2936.154,2935.1,38868300,487345508.9,
92,1,000001,XSHG,上证指数,11:02,2016/7/1,2934.954,2935.438,2936.331,2934.954,48447100,547182377.7,
93,1,000001,XSHG,上证指数,11:03,2016/7/1,2934.245,2935.699,2935.969,2934.245,42939300,510695746.7,
94,1,000001,XSHG,上证指数,11:04,2016/7/1,2934.619,2934.922,2935.548,2934.619,39371200,521463274.1,
95,1,000001,XSHG,上证指数,11:05,2016/7/1,2934.354,2934.949,2935.732,2934.354,37679500,468548494.7,
96,1,000001,XSHG,上证指数,11:06,2016/7/1,2935.329,2935.148,2935.864,2935.125,43978100,553080894.7,
97,1,000001,XSHG,上证指数,11:07,2016/7/1,2935.8,2936.554,2936.87,2935.732,41639200,503083378.9,
98,1,000001,XSHG,上证指数,11:08,2016/7/1,2936.29,2936.912,2936.981,2936.214,37101700,468148726.9,
99,1,000001,XSHG,上证指数,11:09,2016/7/1,2936.883,2936.946,2937.624,2936.883,35029900,417215200.5,
